"","participant","group","ave_ae_Retention","ave_ae_Transfer","ave_ce_Retention","ave_ce_Transfer","ave_ve_Retention","ave_ve_Transfer","det_target","det_trial","det_diff"
"63",221,"Blocked",0.132541666666667,0.209875,0.116208333333333,0.13,0.0952306030308702,0.212307324414397,0.851670349339008,0.861292646487736,0.0084146901937118
"64",222,"Random",0.372708333333333,0.423875,-0.372708333333333,-0.423875,0.129298938818964,0.123820232595485,0.983949725491666,0.953058701897916,-0.0299500328405627
"65",223,"Blocked",0.582333333333333,0.534538461538462,0.511266666666667,0.534538461538462,0.383731019384797,0.23107740960719,0.943098687701168,0.943076262900282,-2.121727234973e-05
"66",224,"Random",0.0931666666666667,0.1285625,-0.0238333333333333,0.0354375,0.110821308054185,0.198443936247327,0.86749439260162,0.88438575608619,0.0150273850783039
"67",225,"Blocked",0.408666666666667,0.428875,-0.407,-0.428875,0.181245449717995,0.173273916098183,0.828009325273779,0.824047662247309,-0.00337458512832278
"68",226,"Random",0.291958333333333,0.3245625,0.143291666666667,0.2945625,0.332126806475644,0.254454178913742,0.711380028503612,0.762414021723098,0.0404091657598926
"69",227,"Blocked",0.211208333333333,0.2500625,-0.162125,-0.2228125,0.189583367574451,0.193714986083507,0.963881982561672,0.970000428838079,0.00592266790175936
"70",228,"Random",0.154666666666667,0.258133333333333,-0.0273333333333333,-0.2368,0.177932734399869,0.164335545237698,0.903441595946879,0.908855063066864,0.00494900571548462
"71",229,"Blocked",0.238958333333333,0.3141875,-0.0942083333333333,-0.1851875,0.24814038438416,0.317894367937947,0.730667081976298,0.760789714324593,0.0240171907331462
"72",230,"Random",0.313125,0.3435625,0.239041666666667,0.3145625,0.278899308488498,0.18511544821183,0.668262470555625,0.738885085275224,0.054488320066652
"73",231,"Blocked",0.287333333333333,0.2595,-0.276166666666667,-0.25225,0.203688736677499,0.203762443382811,0.980848470512831,0.974735657121397,-0.00598002753804195
"74",232,"Random",0.341333333333333,0.2720625,-0.14125,-0.1320625,0.384422802789257,0.295191569154676,0.80059665848541,0.833064248495332,0.0274429203570331
"75",233,"Blocked",0.2285,0.3438125,0.0100833333333333,0.0151875,0.27935452256114,0.409899860738368,0.954978116470288,0.942124176048343,-0.0122251315078678
"76",234,"Random",0.321333333333333,0.3948125,-0.321333333333333,-0.3948125,0.0986956968652137,0.198094327278698,0.951315631997239,0.944877074191502,-0.00612088181886531
"77",235,"Blocked",0.516739130434783,0.419625,-0.516739130434783,-0.419625,0.143350561209957,0.149806041266699,0.663131868984621,0.694980857063131,0.0241119531667096
"78",236,"Random",0.105333333333333,0.1195,-0.0191666666666667,-0.07275,0.125676834248268,0.122010108870809,0.768172935486899,0.952347739567929,0.161946767273123
"79",237,"Random",0.313791666666667,0.3416875,0.0312916666666667,0.1524375,0.355030859548693,0.360437136220266,0.336311066203131,0.934728960110439,0.445808121768515
"80",238,"Random",0.525,0.331916666666667,0.525,0.331916666666667,0.269450788220646,0.223852410116915,0.911558130203898,0.938232595920865,0.0248123143550405
"81",239,"Blocked",0.246833333333333,0.3541875,-0.203416666666667,-0.3541875,0.243260446697642,0.128887143786079,0.962455883921509,0.983801859657657,0.0207881435757908
"82",240,"Random",0.164,0.1770625,0.0483333333333333,0.1240625,0.198241544951929,0.18428871144665,0.950038518314475,0.931088612433395,-0.0178872563913324
"83",241,"Blocked",0.432666666666667,0.4938,0.344333333333333,0.439266666666667,0.370026046870107,0.376189630499351,0.925219629384612,0.929845052899883,0.00431288593819308
"84",242,"Random",0.33675,0.359125,-0.323416666666667,-0.307,0.224945774464148,0.262920013185252,0.912134034662152,0.990979521079067,0.0752379098013452
