"","participant","group","lag","det_target","det_trial","explained_variance_target","explained_variance_trial","log_exp_var_target","log_exp_var_trial","var_diff","det_diff"
"186","205","Blocked","2back",0.971320743162965,0.97682361370601,0.0286792568370353,0.0231763862939903,0.0282757045081042,0.0229118927264993,0.00536381178160489,0.00536381178160489
"187","205","Blocked","3back",0.943774879754242,0.950598091889383,0.0562251202457584,0.0494019081106172,0.0547013446149129,0.0482203905560494,0.00648095405886351,0.00648095405886351
"188","205","Blocked","4back",0.916748445926214,0.921996328740437,0.0832515540737856,0.0780036712595631,0.0799672162768579,0.0751108781021223,0.00485633817473557,0.00485633817473557
"189","206","Random","1back",0.993705129399614,0.998690396810093,0.00629487060038603,0.00130960318990658,0.00627514065745156,0.00130874640759728,0.00496639424985428,0.00496639424985428
"190","206","Random","2back",0.982536918039529,0.994194339003883,0.017463081960471,0.00580566099611746,0.0173123545908338,0.00578887309156595,0.0115234814992679,0.0115234814992679
"191","206","Random","3back",0.967845114200789,0.983934324139924,0.032154885799211,0.0160656758600761,0.0316487389367939,0.0159379886616754,0.0157107502751185,0.0157107502751185
"192","206","Random","4back",0.953991771396701,0.94685947287132,0.0460082286032992,0.0531405271286798,0.0449812323453442,0.0517766783109608,-0.00679544596561652,-0.00679544596561652
"193","207","Blocked","1back",0.995031695695678,0.993971220712552,0.00496830430432205,0.00602877928744849,0.00495600300805601,0.00601067890995559,-0.00105467590189958,-0.00105467590189958
"194","207","Blocked","2back",0.985851897777579,0.983556909617124,0.0141481022224207,0.0164430903828755,0.0140489519222061,0.0163093666684084,-0.00226041474620229,-0.00226041474620229
"195","207","Blocked","3back",0.973036271229979,0.96975521711343,0.0269637287700214,0.0302447828865701,0.0266066126693998,0.0297964272944071,-0.00318981462500729,-0.00318981462500729
"196","207","Blocked","4back",0.959289391541934,0.954299276710642,0.0407106084580661,0.0457007232893578,0.0399037571891075,0.0446872093017669,-0.00478345211265942,-0.00478345211265942
"197","208","Random","1back",0.984911230996054,0.952131576110815,0.0150887690039462,0.0478684238891846,0.0149760658163425,0.0467580282927634,-0.031781962476421,-0.031781962476421
"198","208","Random","2back",0.961441777581693,0.916232597262802,0.0385582224183068,0.083767402737198,0.0378334267185058,0.0804433068726827,-0.0426098801541769,-0.0426098801541769
"199","208","Random","3back",0.943375217942497,0.885493155828783,0.0566247820575034,0.114506844171217,0.0550796600040714,0.108412014848903,-0.0533323548448312,-0.0533323548448312
"200","208","Random","4back",0.92643760546171,0.857448008883594,0.0735623945382902,0.142551991116406,0.070982459179825,0.133264349198456,-0.0622818900186306,-0.0622818900186306
"201","209","Blocked","1back",0.997020270418438,0.997347631402352,0.00297972958156179,0.00265236859764761,0.00297529898650683,0.00264885727556858,0.000326441710938243,0.000326441710938243
"202","209","Blocked","2back",0.957760414757516,0.95620427482147,0.0422395852424843,0.0437957251785305,0.0413718451574679,0.0428638047776421,-0.00149195962017417,-0.00149195962017417
"203","209","Blocked","3back",0.918883583302234,0.917653304394661,0.0811164166977656,0.0823466956053395,0.0779942263809875,0.0791315501774431,-0.00113732379645562,-0.00113732379645562
"204","209","Blocked","4back",0.884432437672291,0.884460556291924,0.115567562327709,0.115539443708076,0.10936329991221,0.109338093931897,2.52059803125121e-05,2.52059803125121e-05
"205","210","Random","1back",0.974853382136205,0.993033778027711,0.0251466178637952,0.00696622197228858,0.0248356441792028,0.00694206994870321,0.0178935742304996,0.0178935742304996
"206","210","Random","2back",0.925050115794735,0.934257748643919,0.0749498842052654,0.0657422513560809,0.0722740411489716,0.0636715060349042,0.00860253511406735,0.00860253511406735
"207","210","Random","3back",0.875695888967133,0.866102201096934,0.124304111032867,0.133897798903066,0.117164276293502,0.125661076820006,-0.00849680052650469,-0.00849680052650469
"208","210","Random","4back",0.841371797466495,0.805676670359123,0.158628202533505,0.194323329640877,0.147236721291174,0.177579773656087,-0.0303430523649123,-0.0303430523649123
"209","211","Blocked","1back",0.994736786262766,0.994372374909214,0.00526321373723426,0.00562762509078574,0.00524941143627062,0.00561184916834859,-0.000362437732077971,-0.000362437732077971
"210","211","Blocked","2back",0.98549629451044,0.984715851400573,0.0145037054895598,0.0152841485994273,0.0143995328049671,0.0151685226742823,-0.00076898986931522,-0.00076898986931522
"211","211","Blocked","3back",0.979991090589394,0.978905200992469,0.0200089094106062,0.0210947990075311,0.0198113619743129,0.0208753840471696,-0.00106402207285673,-0.00106402207285673
"212","211","Blocked","4back",0.971537161300835,0.970495623158848,0.0284628386991647,0.0295043768411517,0.0280652979065001,0.0290774989008095,-0.00101220099430937,-0.00101220099430937
"213","212","Random","1back",0.989306707595393,0.999822120450466,0.0106932924046066,0.00017787954953441,0.0106365234925124,0.000177863730843192,0.0104586597616692,0.0104586597616692
"214","212","Random","2back",0.980337288984159,0.994466757986912,0.0196627110158406,0.00553324201308758,0.0194718971363233,0.00551798986618002,0.0139539072701433,0.0139539072701433
