"","participant","group","label","det","phase_space","lag"
"303","138","Random","det_3back_trial",0.937930529568988,"trial","3back"
"304","138","Random","det_4back_trial",0.891003250781798,"trial","4back"
"305","139","Blocked","det_1back_target",0.962114582331427,"target","1back"
"306","139","Blocked","det_2back_target",0.921145452647591,"target","2back"
"307","139","Blocked","det_3back_target",0.88007667826706,"target","3back"
"308","139","Blocked","det_4back_target",0.835594628861526,"target","4back"
"309","139","Blocked","det_1back_trial",0.963384275050795,"trial","1back"
"310","139","Blocked","det_2back_trial",0.928587097401447,"trial","2back"
"311","139","Blocked","det_3back_trial",0.894003600159956,"trial","3back"
"312","139","Blocked","det_4back_trial",0.860033212575866,"trial","4back"
"313","140","Random","det_1back_target",0.960465153859809,"target","1back"
"314","140","Random","det_2back_target",0.927206415839062,"target","2back"
"315","140","Random","det_3back_target",0.906459372476399,"target","3back"
"316","140","Random","det_4back_target",0.858199887994761,"target","4back"
"317","140","Random","det_1back_trial",0.974014200157401,"trial","1back"
"318","140","Random","det_2back_trial",0.949825043902537,"trial","2back"
"319","140","Random","det_3back_trial",0.909891238561366,"trial","3back"
"320","140","Random","det_4back_trial",0.860165760754778,"trial","4back"
"321","141","Blocked","det_1back_target",0.994033487247276,"target","1back"
"322","141","Blocked","det_2back_target",0.989851286170618,"target","2back"
"323","141","Blocked","det_3back_target",0.982978969729936,"target","3back"
"324","141","Blocked","det_4back_target",0.95379934884012,"target","4back"
"325","141","Blocked","det_1back_trial",0.993991625768087,"trial","1back"
"326","141","Blocked","det_2back_trial",0.989272493715988,"trial","2back"
"327","141","Blocked","det_3back_trial",0.982191856240485,"trial","3back"
"328","141","Blocked","det_4back_trial",0.954646008775278,"trial","4back"
"329","142","Random","det_1back_target",0.976397566398217,"target","1back"
"330","142","Random","det_2back_target",0.943683538850677,"target","2back"
"331","142","Random","det_3back_target",0.90936274658864,"target","3back"
"332","142","Random","det_4back_target",0.871880118526534,"target","4back"
"333","142","Random","det_1back_trial",0.958311452102259,"trial","1back"
"334","142","Random","det_2back_trial",0.913141496281394,"trial","2back"
"335","142","Random","det_3back_trial",0.870755916377176,"trial","3back"
"336","142","Random","det_4back_trial",0.8055647332545,"trial","4back"
"337","201","Blocked","det_1back_target",0.999445917263218,"target","1back"
"338","201","Blocked","det_2back_target",0.993250828389746,"target","2back"
"339","201","Blocked","det_3back_target",0.984181286304714,"target","3back"
"340","201","Blocked","det_4back_target",0.977114837014587,"target","4back"
"341","201","Blocked","det_1back_trial",0.998461776875119,"trial","1back"
